accuracy;accuracy_balanced;alpha;brier_score;cons_alpha;distribution;dmu;ds;est_alpha;estimator;log_loss;mae;mean_poster;precision;random_state;recall;rmse;roc
0,9897;0,49985;0,01;0,01022;0,00632;laplace;1;1;0,05681;dedpul_hist_poster;0,0732;0,00799;0,0063100000000000005;0,0;1;0,0;0,0196;0,49758
0,9832;0,49656999999999996;0,01;0,015880000000000002;0,00632;laplace;1;1;-5,7617199999999995;dedpul_no_heur_poster;0,4307;0,01264;0,00632;0,0;1;0,0;0,07744;0,49621000000000004
0,9826;0,49626000000000003;0,01;0,01518;0,00632;laplace;1;1;0,00632;baseline_dedpul_poster;0,35727;0,016309999999999998;0,01115;0,0;1;0,0;0,07295;0,50129
0,9894;0,4997;0,01;0,01259;0,00632;laplace;1;1;0,00632;e1_en_poster;0,22648000000000001;0,02476;0,0232;0,0;1;0,0;0,05396;0,54627
0,9894;0,4997;0,01;0,01259;0,00632;laplace;1;1;0,00632;e3_en_poster;0,22648000000000001;0,02476;0,0232;0,0;1;0,0;0,05396;0,54627
0,9894;0,4997;0,01;0,01259;0,00632;laplace;1;1;0,00632;em_en_poster;0,22648000000000001;0,02476;0,0232;0,0;1;0,0;0,05396;0,54627
;;0,01;;0,00632;laplace;1;1;-1e-05;tice_0;;;;;1;;;
;;0,01;;0,00632;laplace;1;1;1e-05;tice_1;;;;;1;;;
;;0,01;;0,00632;laplace;1;1;1e-05;tice_2;;;;;1;;;
;;0,01;;0,00632;laplace;1;1;-1e-05;tice_3;;;;;1;;;
;;0,01;;0,00632;laplace;1;1;0,0;tice_4;;;;;1;;;
;;0,01;;0,00632;laplace;1;1;-2e-05;tice_5;;;;;1;;;
;;0,01;;0,00632;laplace;1;1;1e-05;tice_6;;;;;1;;;
;;0,01;;0,00632;laplace;1;1;-1e-05;tice_7;;;;;1;;;
;;0,01;;0,00632;laplace;1;1;1e-05;tice_8;;;;;1;;;
;;0,01;;0,00632;laplace;1;1;0,00186;tice+ntc;;;;;1;;;
0,9895;0,49975;0,01;0,01084;0,00632;laplace;1;1;0,0135;dedpul;0,22050999999999998;0,012830000000000001;0,01351;0,0;2;0,0;0,03167;0,6182
0,9895;0,49975;0,01;0,01048;0,00632;laplace;1;1;0,00807;dedpul_GMM;0,23175;0,007529999999999999;0,00807;0,0;2;0,0;0,0249;0,59765
0,9897;0,49985;0,01;0,01999;0,00632;laplace;1;1;0,07593;dedpul_hist;0,20473;0,0717;0,07594;0,0;2;0,0;0,10337;0,61621
0,3962;0,59111;0,01;0,27310999999999996;0,00632;laplace;1;1;0,499;dedpul_no_heur;0,74824;0,50148;0,5077699999999999;0,01296;2;0,79;0,5165;0,6463800000000001
