accuracy;accuracy_balanced;alpha;brier_score;dataset;est_alpha;estimator;log_loss;mean_poster;n_mix;n_pos;precision;random_state;real_alpha;recall;roc
0,9036200000000001;0,7366699999999999;0,95;0,06239;bank;0,8734700000000001;dedpul;0,40374;0,8734799999999999;42023;1000;0,97503;0;0,95;0,92217;0,88456
0,87745;0,77542;0,95;0,08211;bank;0,84331;dedpul_GMM;0,93317;0,8433200000000001;42023;1000;0,9803799999999999;0;0,95;0,8887799999999999;0,8838299999999999
0,89575;0,7528199999999999;0,95;0,06411;bank;0,87066;dedpul_hist;0,46605;0,87067;42023;1000;0,9771;0;0,95;0,9116299999999999;0,8829100000000001
0,9036200000000001;0,7366699999999999;0,95;0,06237;bank;0,87349;dedpul_no_heur;0,40368000000000004;0,8735;42023;1000;0,97503;0;0,95;0,92217;0,88459
0,8705;0,7812399999999999;0,95;0,10819000000000001;bank;0,79094;baseline_dedpul;1,39212;0,80682;42023;1000;0,98135;0;0,95;0,8804200000000001;0,88426
0,82005;0,80992;0,95;0,15753;bank;0,61824;e1_en;3,49165;0,74319;42023;1000;0,98726;0;0,95;0,8211799999999999;0,8780899999999999
0,9063399999999999;0,72615;0,95;0,07774;bank;0,8613200000000001;e3_en;1,18157;0,8587899999999999;42023;1000;0,97377;0;0,95;0,9263600000000001;0,88436
0,90351;0,73683;0,95;0,08087000000000001;bank;0,85324;em_en;1,2643;0,85325;42023;1000;0,97505;0;0,95;0,9220200000000001;0,88428
0,9494600000000001;0,50715;0,95;0,04115;bank;0,9516100000000001;dedpul_poster;0,14922;0,95;42023;1000;0,95068;0;0,95;0,9986;0,88455
0,94755;0,53275;0,95;0,041069999999999995;bank;0,95393;dedpul_GMM_poster;0,14626;0,95;42023;1000;0,95315;0;0,95;0,99364;0,8839299999999999
0,95;0,5;0,95;0,04045;bank;0,9501700000000001;dedpul_hist_poster;0,14478;0,95001;42023;1000;0,95;0;0,95;1,0;0,8829100000000001
0,9494600000000001;0,50715;0,95;0,04115;bank;0,9516100000000001;dedpul_no_heur_poster;0,1492;0,95001;42023;1000;0,95068;0;0,95;0,9986;0,8845700000000001
0,9494600000000001;0,50715;0,95;0,04115;bank;0,9516100000000001;baseline_dedpul_poster;0,14922;0,95;42023;1000;0,95068;0;0,95;0,9986;0,88455
0,94094;0,59172;0,95;0,047830000000000004;bank;0,95;e1_en_poster;0,40299;0,93496;42023;1000;0,9589799999999999;0;0,95;0,9797399999999999;0,88455
0,94094;0,59172;0,95;0,047830000000000004;bank;0,95;e3_en_poster;0,40299;0,93496;42023;1000;0,9589799999999999;0;0,95;0,9797399999999999;0,88455
0,94094;0,59172;0,95;0,047830000000000004;bank;0,95;em_en_poster;0,40299;0,93496;42023;1000;0,9589799999999999;0;0,95;0,9797399999999999;0,88455
;;0,95;;bank;0,84519;tice+ntc;;;42023;1000;;0;0,95;;
0,95;0,5;0,95;0,048389999999999996;bank;0,95;nnre_sigmoid;0,235;0,9948100000000001;42023;1000;0,95;0;0,95;1,0;0,81776
0,9496899999999999;0,50142;0,95;0,041710000000000004;bank;0,95;nnre_brier;0,15896;0,94135;42023;1000;0,95014;0;0,95;0,9995;0,84664
0,9129799999999999;0,72468;0,95;0,07505;bank;0,85539;dedpul;1,15473;0,8554;42023;1000;0,9734200000000001;1;0,95;0,9339;0,87975
0,91843;0,71087;0,95;0,07667;bank;0,85259;dedpul_GMM;1,04745;0,8526;42023;1000;0,97177;1;0,95;0,9414899999999999;0,87992
0,9146200000000001;0,72014;0,95;0,07243;bank;0,8579200000000001;dedpul_hist;0,5453399999999999;0,85793;42023;1000;0,97288;1;0,95;0,9362299999999999;0,87866
