dataset;alpha;baseline_dedpul;brier_nnre;dedpul;e1_en;e3_en;em_en;random_dedpul;sigmoid_nnre
shuttle;0,95;0,0009749999999998371;0,0023249999999999105;0,0009749999999998371;0,003275000000000139;0,003275000000000139;0,003275000000000139;0,0009749999999998371;0,004369999999999763
spambase;0,05;0,05243400000000009;0,04810799999999982;0,05243400000000009;0,28202799999999983;0,28202799999999983;0,28202799999999983;0,05243400000000009;0,04573000000000005
spambase;0,25;0,1276529999999999;0,11963899999999994;0,1276529999999999;0,26825999999999994;0,26825999999999994;0,26825999999999994;0,1276529999999999;0,10089999999999999
spambase;0,5;0,12420399999999998;0,11132400000000009;0,12420399999999998;0,19865600000000005;0,19865600000000005;0,19865600000000005;0,12420399999999998;0,10314000000000001
spambase;0,75;0,0628200000000001;0,06615499999999996;0,0628200000000001;0,0839120000000001;0,0839120000000001;0,0839120000000001;0,0628200000000001;0,06878000000000006
spambase;0,95;0,02303300000000008;0,024293999999999927;0,02303300000000008;0,023746999999999963;0,023746999999999963;0,023746999999999963;0,02303300000000008;0,02507999999999999
wine;0,05;0,02119099999999996;0,018333000000000155;0,02119099999999996;0,05833299999999997;0,05833299999999997;0,05833299999999997;0,02119099999999996;0,013739999999999974
wine;0,25;0,019564000000000137;0,014874000000000054;0,019564000000000137;0,052313000000000165;0,052313000000000165;0,052313000000000165;0,019564000000000137;0,014010000000000078
wine;0,5;0,01263599999999998;0,014971000000000068;0,01263599999999998;0,03953199999999979;0,03953199999999979;0,03953199999999979;0,01263599999999998;0,012089999999999934
wine;0,75;0,006175000000000042;0,009850000000000136;0,006175000000000042;0,019325000000000037;0,019325000000000037;0,019325000000000037;0,006175000000000042;0,007419999999999982
wine;0,95;0,0017250000000000876;0,0030250000000000554;0,0017250000000000876;0,007224999999999815;0,007224999999999815;0,007224999999999815;0,0017250000000000876;0,002809999999999979
