accuracy;accuracy_balanced;alpha;balanced_brier_score;brier_score;dataset;est_alpha;estimator;log_loss;mean_poster;n_mix;n_pos;precision;random_state;real_alpha;recall;roc
0,94975;0,51408;0,95;;0,04093;bank;0,9514600000000001;dedpul;0,15279;0,95001;4000;1000;0,95134;0;0,95;0,99816;0,85225
0,94975;0,51408;0,95;;0,04093;bank;0,9514600000000001;random_dedpul;0,15279;0,95001;4000;1000;0,95134;0;0,95;0,99816;0,85225
0,94975;0,51408;0,95;;0,04093;bank;0,9514600000000001;baseline_dedpul;0,15279;0,95001;4000;1000;0,95134;0;0,95;0,99816;0,85225
0,9485;0,5252600000000001;0,95;;0,04215;bank;0,95;e1_en;0,17982;0,9529299999999999;4000;1000;0,95242;0;0,95;0,9955299999999999;0,8527100000000001
0,9485;0,5252600000000001;0,95;;0,04215;bank;0,95;e3_en;0,17982;0,9529299999999999;4000;1000;0,95242;0;0,95;0,9955299999999999;0,8527100000000001
0,9485;0,5252600000000001;0,95;;0,04215;bank;0,95;em_en;0,17982;0,9529299999999999;4000;1000;0,95242;0;0,95;0,9955299999999999;0,8527100000000001
0,94875;0,54197;0,95;;0,04028;bank;0,9517100000000001;dedpul;0,15106;0,94999;4000;1000;0,9540299999999999;1;0,95;0,99395;0,85449
0,94875;0,54197;0,95;;0,04028;bank;0,9517100000000001;random_dedpul;0,15106;0,94999;4000;1000;0,9540299999999999;1;0,95;0,99395;0,85449
0,94875;0,54197;0,95;;0,04028;bank;0,9517100000000001;baseline_dedpul;0,15106;0,94999;4000;1000;0,9540299999999999;1;0,95;0,99395;0,85449
0,9490000000000001;0,53974;0,95;;0,04155;bank;0,95;e1_en;0,2039;0,94368;4000;1000;0,95381;1;0,95;0,9944700000000001;0,85457
0,9490000000000001;0,53974;0,95;;0,04155;bank;0,95;e3_en;0,2039;0,94368;4000;1000;0,95381;1;0,95;0,9944700000000001;0,85457
0,9490000000000001;0,53974;0,95;;0,04155;bank;0,95;em_en;0,2039;0,94368;4000;1000;0,95381;1;0,95;0,9944700000000001;0,85457
