accuracy;accuracy_balanced;alpha;brier_score;dataset;est_alpha;estimator;log_loss;mean_poster;n_mix;n_pos;precision;random_state;real_alpha;recall;roc
0,8865;0,74605;0,95;0,09966;bank;0,79825;e3_en;1,44001;0,79594;4000;1000;0,97664;5;0,95;0,9021100000000001;0,85162
0,88375;0,76118;0,95;0,1039;bank;0,78878;em_en;1,53173;0,78879;4000;1000;0,9784799999999999;5;0,95;0,8973700000000001;0,8516799999999999
0,89725;0,71618;0,95;0,0751;bank;0,85285;dedpul;0,48043;0,8528600000000001;4000;1000;0,97293;6;0,95;0,91737;0,83641
0,89725;0,71618;0,95;0,0751;bank;0,85285;random_dedpul;0,48043;0,8528600000000001;4000;1000;0,97293;6;0,95;0,91737;0,83641
0,873;0,74368;0,95;0,11220999999999999;bank;0,78222;baseline_dedpul;1,52661;0,79682;4000;1000;0,97683;6;0,95;0,8873700000000001;0,8364799999999999
0,76975;0,75566;0,95;0,20098;bank;0,5404899999999999;e1_en;3,95226;0,6561100000000001;4000;1000;0,98257;6;0,95;0,77132;0,8291200000000001
0,8855;0,72421;0,95;0,09911;bank;0,79978;e3_en;1,4555799999999999;0,8025899999999999;4000;1000;0,9741799999999999;6;0,95;0,9034200000000001;0,83619
0,89175;0,72039;0,95;0,09422;bank;0,81103;em_en;1,2862200000000001;0,81104;4000;1000;0,97356;6;0,95;0,91079;0,83641
0,9155;0,70921;0,95;0,06422;bank;0,8659399999999999;dedpul;0,5646399999999999;0,86595;4000;1000;0,9716600000000001;7;0,95;0,93842;0,8524
0,9155;0,70921;0,95;0,06422;bank;0,8659399999999999;random_dedpul;0,5646399999999999;0,86595;4000;1000;0,9716600000000001;7;0,95;0,93842;0,8524
0,8909999999999999;0,74132;0,95;0,09755;bank;0,78091;baseline_dedpul;1,44785;0,8011;4000;1000;0,97595;7;0,95;0,9076299999999999;0,8517100000000001
0,7615;0,77974;0,95;0,21009;bank;0,48128999999999994;e1_en;3,85178;0,62775;4000;1000;0,9863299999999999;7;0,95;0,75947;0,84572
0,88325;0,74671;0,95;0,10232000000000001;bank;0,7509;e3_en;1,46243;0,77861;4000;1000;0,97682;7;0,95;0,8984200000000001;0,8525799999999999
0,93;0,63868;0,95;0,058589999999999996;bank;0,8729299999999999;em_en;0,5697399999999999;0,8729399999999999;4000;1000;0,9638899999999999;7;0,95;0,9623700000000001;0,85345
0,9095;0,73447;0,95;0,07591;bank;0,84826;dedpul;0,9870700000000001;0,8482700000000001;4000;1000;0,9746;8;0,95;0,92895;0,86295
0,9095;0,73447;0,95;0,07591;bank;0,84826;random_dedpul;0,9870700000000001;0,8482700000000001;4000;1000;0,9746;8;0,95;0,92895;0,86295
0,90525;0,73934;0,95;0,08271;bank;0,8318700000000001;baseline_dedpul;1,2939399999999999;0,83598;4000;1000;0,9752700000000001;8;0,95;0,92368;0,86318
0,77425;0,78408;0,95;0,19552;bank;0,45883999999999997;e1_en;3,43915;0,64735;4000;1000;0,98624;8;0,95;0,7731600000000001;0,85562
0,88925;0,74987;0,95;0,09863;bank;0,72802;e3_en;1,3398700000000001;0,78414;4000;1000;0,97698;8;0,95;0,90474;0,8638399999999999
0,94825;0,51803;0,95;0,04301;bank;0,95999;em_en;0,20515;0,96;4000;1000;0,9517200000000001;8;0,95;0,99605;0,86411
0,9215;0,70526;0,95;0,06487000000000001;bank;0,86201;dedpul;0,6131300000000001;0,8620200000000001;4000;1000;0,9710799999999999;9;0,95;0,94553;0,8539700000000001
0,9215;0,70526;0,95;0,06487000000000001;bank;0,86201;random_dedpul;0,6131300000000001;0,8620200000000001;4000;1000;0,9710799999999999;9;0,95;0,94553;0,8539700000000001
0,90075;0,7417100000000001;0,95;0,0843;bank;0,81937;baseline_dedpul;1,3038399999999999;0,82662;4000;1000;0,9756799999999999;9;0,95;0,9184200000000001;0,85355
0,7645;0,78132;0,95;0,20664000000000002;bank;0,46566;e1_en;3,65279;0,63443;4000;1000;0,98639;9;0,95;0,76263;0,8443
0,88525;0,7477600000000001;0,95;0,10087;bank;0,7352;e3_en;1,3529799999999998;0,77896;4000;1000;0,97688;9;0,95;0,9005299999999999;0,85382
0,94525;0,54724;0,95;0,04378;bank;0,93306;em_en;0,26528;0,9330700000000001;4000;1000;0,9545600000000001;9;0,95;0,9894700000000001;0,85413
0,80525;0,76783;0,75;0,15939;bank;0,6190100000000001;dedpul;1,53329;0,61902;4000;1000;0,89171;0;0,75;0,84267;0,8413200000000001
0,80525;0,76783;0,75;0,15939;bank;0,6190100000000001;random_dedpul;1,53329;0,61902;4000;1000;0,89171;0;0,75;0,84267;0,8413200000000001
0,8079999999999999;0,7663300000000001;0,75;0,15444000000000002;bank;0,63643;baseline_dedpul;1,36618;0,63147;4000;1000;0,88939;0;0,75;0,84967;0,84147
0,72;0,758;0,75;0,22914;bank;0,31131;e1_en;3,61424;0,47606000000000004;4000;1000;0,92495;0;0,75;0,682;0,83355
0,81675;0,7675;0,75;0,14009000000000002;bank;0,6419199999999999;e3_en;0,8136;0,6629999999999999;4000;1000;0,88699;0;0,75;0,866;0,84254
0,8009999999999999;0,76867;0,75;0,14951;bank;0,597;em_en;1,11796;0,62854;4000;1000;0,89413;0;0,75;0,8333299999999999;0,84225
0,813;0,742;0,75;0,14371;bank;0,67783;dedpul;0,8962700000000001;0,67784;4000;1000;0,8689399999999999;1;0,75;0,884;0,83465
0,813;0,742;0,75;0,14371;bank;0,67783;random_dedpul;0,8962700000000001;0,67784;4000;1000;0,8689399999999999;1;0,75;0,884;0,83465
0,81225;0,7405;0,75;0,14281;bank;0,68229;baseline_dedpul;0,8709399999999999;0,6815100000000001;4000;1000;0,8680899999999999;1;0,75;0,884;0,8346600000000001
0,7095;0,75133;0,75;0,22605999999999998;bank;0,34438;e1_en;3,3338900000000002;0,48857;4000;1000;0,92389;1;0,75;0,66767;0,82626
0,81225;0,7255;0,75;0,1379;bank;0,6877300000000001;e3_en;0,77605;0,69499;4000;1000;0,85755;1;0,75;0,899;0,8348899999999999
0,81025;0,69083;0,75;0,13448;bank;0,73774;em_en;0,6209;0,73775;4000;1000;0,83578;1;0,75;0,9296700000000001;0,8349200000000001
0,81175;0,77183;0,75;0,15248;bank;0,63817;dedpul;1,8151700000000002;0,63817;4000;1000;0,8924200000000001;2;0,75;0,85167;0,8455799999999999
0,81175;0,77183;0,75;0,15248;bank;0,63817;random_dedpul;1,8151700000000002;0,63817;4000;1000;0,8924200000000001;2;0,75;0,85167;0,8455799999999999
0,8125;0,7683300000000001;0,75;0,14467;bank;0,68062;baseline_dedpul;1,5503200000000001;0,66392;4000;1000;0,8892700000000001;2;0,75;0,85667;0,8462
0,725;0,7643300000000001;0,75;0,22055;bank;0,37522;e1_en;3,42222;0,48936999999999997;4000;1000;0,92909;2;0,75;0,68567;0,83781
0,82475;0,75517;0,75;0,1331;bank;0,70244;e3_en;0,75426;0,68985;4000;1000;0,8748;2;0,75;0,89433;0,84775
0,81175;0,77183;0,75;0,14609;bank;0,63474;em_en;1,1502;0,63475;4000;1000;0,8924200000000001;2;0,75;0,85167;0,84746
0,8059999999999999;0,757;0,75;0,15335;bank;0,6338600000000001;dedpul;1,32598;0,6338699999999999;4000;1000;0,88266;3;0,75;0,855;0,8403700000000001
0,8059999999999999;0,757;0,75;0,15335;bank;0,6338600000000001;random_dedpul;1,32598;0,6338699999999999;4000;1000;0,88266;3;0,75;0,855;0,8403700000000001
0,80925;0,7515;0,75;0,13943;bank;0,6866399999999999;baseline_dedpul;0,76866;0,67793;4000;1000;0,87723;3;0,75;0,867;0,8412700000000001
0,7145;0,759;0,75;0,22991999999999999;bank;0,31569;e1_en;3,64731;0,47394;4000;1000;0,92969;3;0,75;0,67;0,83349
0,8135;0,75067;0,75;0,13824;bank;0,65814;e3_en;0,76021;0,6731600000000001;4000;1000;0,8751700000000001;3;0,75;0,8763299999999999;0,84355
0,79;0,60733;0,75;0,13752;bank;0,7991;em_en;0,47217;0,79911;4000;1000;0,7938;3;0,75;0,97267;0,8435600000000001
0,80775;0,72183;0,75;0,15379;bank;0,6692600000000001;dedpul;1,7420200000000001;0,66927;4000;1000;0,8562799999999999;4;0,75;0,8936700000000001;0,82471
0,80775;0,72183;0,75;0,15379;bank;0,6692600000000001;random_dedpul;1,7420200000000001;0,66927;4000;1000;0,8562799999999999;4;0,75;0,8936700000000001;0,82471
0,807;0,71733;0,75;0,15175999999999998;bank;0,68698;baseline_dedpul;1,56859;0,68062;4000;1000;0,8534299999999999;4;0,75;0,8966700000000001;0,8250299999999999
0,6975;0,7436699999999999;0,75;0,23605;bank;0,32037;e1_en;3,4756400000000003;0,47563999999999995;4000;1000;0,9225700000000001;4;0,75;0,65133;0,81924
0,80475;0,7315;0,75;0,14618;bank;0,65246;e3_en;0,87913;0,67267;4000;1000;0,8638899999999999;4;0,75;0,878;0,82665
0,80525;0,72383;0,75;0,14442;bank;0,664;em_en;0,8173600000000001;0,68197;4000;1000;0,85834;4;0,75;0,8866700000000001;0,8267
0,7985;0,7723300000000001;0,75;0,16137;bank;0,62351;dedpul;2,2419;0,62352;4000;1000;0,89833;5;0,75;0,8246700000000001;0,84072
0,7985;0,7723300000000001;0,75;0,16137;bank;0,62351;random_dedpul;2,2419;0,62352;4000;1000;0,89833;5;0,75;0,8246700000000001;0,84072
0,80225;0,76617;0,75;0,15124;bank;0,66705;baseline_dedpul;1,2695299999999998;0,65236;4000;1000;0,8915299999999999;5;0,75;0,8383299999999999;0,84254
0,71375;0,76017;0,75;0,22616999999999998;bank;0,37951;e1_en;3,5752800000000002;0,48708;4000;1000;0,9316;5;0,75;0,66733;0,83568
0,81375;0,7355;0,75;0,13771;bank;0,7079300000000001;e3_en;0,83778;0,69166;4000;1000;0,86406;5;0,75;0,892;0,8435
0,79825;0,7675;0,75;0,15492;bank;0,62287;em_en;1,38195;0,62288;4000;1000;0,89428;5;0,75;0,8290000000000001;0,84303
0,80575;0,7655;0,75;0,14565999999999998;bank;0,66054;dedpul;1,02452;0,66055;4000;1000;0,88959;6;0,75;0,846;0,83873
0,80575;0,7655;0,75;0,14565999999999998;bank;0,66054;random_dedpul;1,02452;0,66055;4000;1000;0,88959;6;0,75;0,846;0,83873
0,80625;0,76383;0,75;0,14364000000000002;bank;0,66993;baseline_dedpul;0,98913;0,66792;4000;1000;0,8880399999999999;6;0,75;0,84867;0,83867
0,7225;0,759;0,75;0,21935;bank;0,38079;e1_en;3,40046;0,49713;4000;1000;0,92453;6;0,75;0,6859999999999999;0,82963
0,81675;0,7325;0,75;0,1354;bank;0,71228;e3_en;0,79352;0,7013199999999999;4000;1000;0,8611;6;0,75;0,9009999999999999;0,83986
0,81075;0,75617;0,75;0,14448;bank;0,65384;em_en;1,0315299999999998;0,65385;4000;1000;0,8803;6;0,75;0,8653299999999999;0,83991
0,81375;0,7525;0,75;0,13888;bank;0,67756;dedpul;1,08705;0,67757;4000;1000;0,87646;7;0,75;0,875;0,84404
0,81375;0,7525;0,75;0,13888;bank;0,67756;random_dedpul;1,08705;0,67757;4000;1000;0,87646;7;0,75;0,875;0,84404
0,81925;0,75083;0,75;0,13505999999999999;bank;0,70665;baseline_dedpul;0,88665;0,69985;4000;1000;0,8734;7;0,75;0,8876700000000001;0,8443
0,7;0,754;0,75;0,22941999999999999;bank;0,31305;e1_en;3,05558;0,47146000000000005;4000;1000;0,93353;7;0,75;0,6459999999999999;0,83625
0,82375;0,74017;0,75;0,13552999999999998;bank;0,66488;e3_en;0,7971199999999999;0,6824600000000001;4000;1000;0,8644;7;0,75;0,90733;0,84416
