distribution;estimator;random_state;dmu;ds;alpha;cons_alpha;est_alpha;mean_poster;accuracy;roc;mae;rmse;log_loss;precision;recall;accuracy_balanced;brier_score
laplace;random_dedpul;5;1;1;0,01;0,00632;-0,30384;0,00633;0,99;0,41051000000000004;0,01265;0,01969;0,35185;0,0;0,0;0,5;0,01026
laplace;baseline_dedpul;5;1;1;0,01;0,00632;0,00632;0,09383;0,99;0,25694;0,09981;0,1419;0,43814;0,0;0,0;0,5;0,029960000000000004
laplace;e1_en;5;1;1;0,01;0,00632;0,00632;0,03136;0,99;0,18805999999999998;0,03632;0,04212;0,34153;0,0;0,0;0,5;0,011640000000000001
laplace;e3_en;5;1;1;0,01;0,00632;0,00632;0,03136;0,99;0,18805999999999998;0,03632;0,04212;0,34153;0,0;0,0;0,5;0,011640000000000001
laplace;em_en;5;1;1;0,01;0,00632;0,00632;0,03136;0,99;0,18805999999999998;0,03632;0,04212;0,34153;0,0;0,0;0,5;0,011640000000000001
laplace;dedpul;6;1;1;0,01;0,00632;0,11445999999999999;0,00632;0,988;0,44819;0,011859999999999999;0,04702;0,33558000000000004;0,0;0,0;0,49899;0,012209999999999999
laplace;random_dedpul;6;1;1;0,01;0,00632;0,11445999999999999;0,00632;0,988;0,44819;0,011859999999999999;0,04702;0,33558000000000004;0,0;0,0;0,49899;0,012209999999999999
laplace;baseline_dedpul;6;1;1;0,01;0,00632;0,00632;0,00238;0,988;0,49394;0,00824;0,0444;0,35564;0,0;0,0;0,49899;0,01195
laplace;e1_en;6;1;1;0,01;0,00632;0,00632;0,01942;0,99;0,40961000000000003;0,0238;0,02932;0,21669000000000002;0,0;0,0;0,5;0,01056
laplace;e3_en;6;1;1;0,01;0,00632;0,00632;0,01942;0,99;0,40961000000000003;0,0238;0,02932;0,21669000000000002;0,0;0,0;0,5;0,01056
laplace;em_en;6;1;1;0,01;0,00632;0,00632;0,01942;0,99;0,40961000000000003;0,0238;0,02932;0,21669000000000002;0,0;0,0;0,5;0,01056
laplace;dedpul;7;1;1;0,01;0,00632;-0,53101;0,00633;0,9872;0,48222;0,01154;0,052779999999999994;0,35645;0,0;0,0;0,49859;0,01289
laplace;random_dedpul;7;1;1;0,01;0,00632;-0,53101;0,00633;0,9872;0,48222;0,01154;0,052779999999999994;0,35645;0,0;0,0;0,49859;0,01289
laplace;baseline_dedpul;7;1;1;0,01;0,00632;0,00632;0,027780000000000003;0,986;0,48943000000000003;0,03137;0,10115;0,34443;0,0;0,0;0,49798000000000003;0,02025
